C3S,CRP,NAN,C2,CS,NAN,NAN,1500.0,0.0,0.0,99   9,999
C4,CRP,NAN,C2,C2,NAN,NAN,250.0,0.0,0.0,99   9,999
C4,CRP,NAN,C,C3,NAN,NAN,750.0,0.0,0.0,99   9,999
CH3,CRP,NAN,H,CH2,NAN,NAN,500.0,0.0,0.0,99   9,999
CH3,CRP,NAN,CH3+,E-,NAN,NAN,500.0,0.0,0.0,99   9,999
H2CO,CRP,NAN,CO,H2,NAN,NAN,2660.0,0.0,0.0,99   9,999
H2CS,CRP,NAN,CS,H2,NAN,NAN,1500.0,0.0,0.0,99   9,999
HOOH,CRP,NAN,OH,OH,NAN,NAN,1500.0,0.0,0.0,99   9,999
HSSH,CRP,NAN,HS,HS,NAN,NAN,1500.0,0.0,0.0,99   9,999
H2SIO,CRP,NAN,H2,SIO,NAN,NAN,1500.0,0.0,0.0,99   9,999
HCCP,CRP,NAN,H,CCP,NAN,NAN,1500.0,0.0,0.0,99   9,999
NH3,CRP,NAN,H2,NH,NAN,NAN,540.0,0.0,0.0,99   9,999
NH3,CRP,NAN,H,NH2,NAN,NAN,1320.0,0.0,0.0,99   9,999
NH3,CRP,NAN,NH3+,E-,NAN,NAN,575.0,0.0,0.0,99   9,999
HCCSI,CRP,NAN,H,C-SIC2,NAN,NAN,1500.0,0.0,0.0,99   9,999
L-SIC3,CRP,NAN,C,C-SIC2,NAN,NAN,1500.0,0.0,0.0,99   9,999
SICH2,CRP,NAN,H2,SIC,NAN,NAN,1500.0,0.0,0.0,99   9,999
SIH3,CRP,NAN,H,SIH2,NAN,NAN,1500.0,0.0,0.0,99   9,999
H2CCN,CRP,NAN,CN,CH2,NAN,NAN,5000.0,0.0,0.0,99   9,999
H2CCO,CRP,NAN,CO,CH2,NAN,NAN,915.0,0.0,0.0,99   9,999
H2CCO,CRP,NAN,H2CCO+,E-,NAN,NAN,1220.0,0.0,0.0,99   9,999
C2H3,CRP,NAN,H,C2H2,NAN,NAN,1500.0,0.0,0.0,99   9,999
C-C3H2,CRP,NAN,H,C-C3H,NAN,NAN,5000.0,0.0,0.0,99   9,999
L-C3H2,CRP,NAN,H,L-C3H,NAN,NAN,5000.0,0.0,0.0,99   9,999
C4H,CRP,NAN,H,C4,NAN,NAN,5000.0,0.0,0.0,99   9,999
C4N,CRP,NAN,CN,C3,NAN,NAN,1000.0,0.0,0.0,99   9,999
C4P,CRP,NAN,C,C3P,NAN,NAN,1500.0,0.0,0.0,99   9,999
C4S,CRP,NAN,CS,C3,NAN,NAN,1500.0,0.0,0.0,99   9,999
C5,CRP,NAN,C2,C3,NAN,NAN,850.0,0.0,0.0,99   9,999
C5,CRP,NAN,C,C4,NAN,NAN,150.0,0.0,0.0,99   9,999
HCOOH,CRP,NAN,HCOOH+,E-,NAN,NAN,650.0,0.0,0.0,99   9,999
HCOOH,CRP,NAN,OH,HCO,NAN,NAN,249.0,0.0,0.0,99   9,999
CH2PH,CRP,NAN,H2,HCP,NAN,NAN,1500.0,0.0,0.0,99   9,999
CH2NH,CRP,NAN,H2,HCN,NAN,NAN,4980.0,0.0,0.0,99   9,999
CH4,CRP,NAN,H2,CH2,NAN,NAN,2340.0,0.0,0.0,99   9,999
HC3N,CRP,NAN,CN,CCH,NAN,NAN,1720.0,0.0,0.0,99   9,999
C-HCCHSI,CRP,NAN,H2,C-SIC2,NAN,NAN,1500.0,0.0,0.0,99   9,999
SIC3H,CRP,NAN,H,L-SIC3,NAN,NAN,1500.0,0.0,0.0,99   9,999
SIC4,CRP,NAN,C2,C-SIC2,NAN,NAN,1500.0,0.0,0.0,99   9,999
SICH3,CRP,NAN,H,SICH2,NAN,NAN,1500.0,0.0,0.0,99   9,999
SIH4,CRP,NAN,H2,SIH2,NAN,NAN,1500.0,0.0,0.0,99   9,999
HC4N,CRP,NAN,C2,CH,CN,NAN,2000.0,0.0,0.0,99   9,999
CH3CN,CRP,NAN,CN,CH3,NAN,NAN,4760.0,0.0,0.0,99   9,999
CH3CN,CRP,NAN,CH3CN+,E-,NAN,NAN,2240.0,0.0,0.0,99   9,999
C2H4,CRP,NAN,H2,C2H2,NAN,NAN,3700.0,0.0,0.0,99   9,999
C2H4,CRP,NAN,C2H4+,E-,NAN,NAN,780.0,0.0,0.0,99   9,999
CH2CCH,CRP,NAN,H,L-C3H2,NAN,NAN,2500.0,0.0,0.0,99   9,999
CH2CCH,CRP,NAN,H,C-C3H2,NAN,NAN,2500.0,0.0,0.0,99   9,999
C4H2,CRP,NAN,CCH,CCH,NAN,NAN,1730.0,0.0,0.0,99   9,999
C4H2,CRP,NAN,H,C4H,NAN,NAN,1730.0,0.0,0.0,99   9,999
C4H2,CRP,NAN,C4H2+,E-,NAN,NAN,1120.0,0.0,0.0,99   9,999
C5H,CRP,NAN,H,C5,NAN,NAN,5000.0,0.0,0.0,99   9,999
C5N,CRP,NAN,CN,C4,NAN,NAN,1750.0,0.0,0.0,99   9,999
C6,CRP,NAN,C2,C4,NAN,NAN,100.0,0.0,0.0,99   9,999
C6,CRP,NAN,C3,C3,NAN,NAN,800.0,0.0,0.0,99   9,999
C6,CRP,NAN,C,C5,NAN,NAN,100.0,0.0,0.0,99   9,999
CH3OH,CRP,NAN,OH,CH3,NAN,NAN,1500.0,0.0,0.0,99   9,999
CH3OH,CRP,NAN,H2,H2CO,NAN,NAN,3170.0,0.0,0.0,99   9,999
CH3OH,CRP,NAN,H,H2COH+,E-,NAN,99.0,0.0,0.0,99   9,999
CH3OH,CRP,NAN,CH3OH+,E-,NAN,NAN,1440.0,0.0,0.0,99   9,999
CH3CHO,CRP,NAN,HCO,CH3,NAN,NAN,525.0,0.0,0.0,99   9,999
CH3CHO,CRP,NAN,CO,CH4,NAN,NAN,525.0,0.0,0.0,99   9,999
CH3CHO,CRP,NAN,C2H4O+,E-,NAN,NAN,1120.0,0.0,0.0,99   9,999
C2H5,CRP,NAN,H,C2H4,NAN,NAN,1500.0,0.0,0.0,99   9,999
CH2CHCN,CRP,NAN,CN,C2H3,NAN,NAN,1500.0,0.0,0.0,99   9,999
CH3CCH,CRP,NAN,H,CH2CCH,NAN,NAN,3280.0,0.0,0.0,99   9,999
CH3CCH,CRP,NAN,C3H4+,E-,NAN,NAN,5300.0,0.0,0.0,99   9,999
CH3CCH,CRP,NAN,CH2,C2H2,NAN,NAN,2000.0,0.0,0.0,99   9,999
C5H2,CRP,NAN,H,C5H,NAN,NAN,1750.0,0.0,0.0,99   9,999
C6H,CRP,NAN,H,C6,NAN,NAN,5000.0,0.0,0.0,99   9,999
C7,CRP,NAN,C2,C5,NAN,NAN,200.0,0.0,0.0,99   9,999
C7,CRP,NAN,C3,C4,NAN,NAN,800.0,0.0,0.0,99   9,999
CH3NH2,CRP,NAN,H,H,H2,HCN,1410.0,0.0,0.0,99   9,999
CH3NH2,CRP,NAN,CH3NH2+,E-,NAN,NAN,1120.0,0.0,0.0,99   9,999
HC5N,CRP,NAN,CN,C4H,NAN,NAN,1750.0,0.0,0.0,99   9,999
C6H2,CRP,NAN,H,C6H,NAN,NAN,1750.0,0.0,0.0,99   9,999
C7H,CRP,NAN,H,C7,NAN,NAN,5000.0,0.0,0.0,99   9,999
C7N,CRP,NAN,CN,C6,NAN,NAN,1750.0,0.0,0.0,99   9,999
C8,CRP,NAN,C3,C5,NAN,NAN,900.0,0.0,0.0,99   9,999
C8,CRP,NAN,C4,C4,NAN,NAN,60.0,0.0,0.0,99   9,999
C8,CRP,NAN,C,C7,NAN,NAN,40.0,0.0,0.0,99   9,999
CH3C3N,CRP,NAN,C3N,CH3,NAN,NAN,1500.0,0.0,0.0,99   9,999
HCOOCH3,CRP,NAN,H2CO,H2CO,NAN,NAN,1500.0,0.0,0.0,99   9,999
CH3CH2OH,CRP,NAN,C2H5OH+,E-,NAN,NAN,2740.0,0.0,0.0,99   9,999
C7H2,CRP,NAN,H,C7H,NAN,NAN,1750.0,0.0,0.0,99   9,999
C8H,CRP,NAN,H,C8,NAN,NAN,5000.0,0.0,0.0,99   9,999
C9,CRP,NAN,C2,C7,NAN,NAN,50.0,0.0,0.0,99   9,999
C9,CRP,NAN,C3,C6,NAN,NAN,650.0,0.0,0.0,99   9,999
C9,CRP,NAN,C4,C5,NAN,NAN,300.0,0.0,0.0,99   9,999
CH3C4H,CRP,NAN,CH3,C4H,NAN,NAN,1500.0,0.0,0.0,99   9,999
CH3OCH3,CRP,NAN,H2CO,CH4,NAN,NAN,1720.0,0.0,0.0,99   9,999
CH3OCH3,CRP,NAN,CH3OCH3+,E-,NAN,NAN,1120.0,0.0,0.0,99   9,999
C,CRP,NAN,C+,E-,NAN,NAN,1020.0,0.0,0.0,99   9,999
CL,CRP,NAN,CL+,E-,NAN,NAN,3000.0,0.0,0.0,99   9,999
FE,CRP,NAN,FE+,E-,NAN,NAN,1500.0,0.0,0.0,99   9,999
MG,CRP,NAN,MG+,E-,NAN,NAN,113.0,0.0,0.0,99   9,999
NA,CRP,NAN,NA+,E-,NAN,NAN,17.0,0.0,0.0,99   9,999
P,CRP,NAN,P+,E-,NAN,NAN,1500.0,0.0,0.0,99   9,999
S,CRP,NAN,S+,E-,NAN,NAN,960.0,0.0,0.0,99   9,999
SI,CRP,NAN,SI+,E-,NAN,NAN,4230.0,0.0,0.0,99   9,999
C2,CRP,NAN,C,C,NAN,NAN,237.0,0.0,0.0,99   9,999
CCL,CRP,NAN,C,CL,NAN,NAN,500.0,0.0,0.0,99   9,999
CH,CRP,NAN,C,H,NAN,NAN,730.0,0.0,0.0,99   9,999
CLO,CRP,NAN,CL,O,NAN,NAN,500.0,0.0,0.0,99   9,999
CN,CRP,NAN,C,N,NAN,NAN,10600.0,0.0,0.0,99   9,999
CP,CRP,NAN,C,P,NAN,NAN,500.0,0.0,0.0,99   9,999
CS,CRP,NAN,C,S,NAN,NAN,500.0,0.0,0.0,99   9,999
HCL,CRP,NAN,CL,H,NAN,NAN,610.0,0.0,0.0,99   9,999
HF,CRP,NAN,H,F,NAN,NAN,174.0,0.0,0.0,99   9,999
C10H2,CRP,NAN,H,C10H,NAN,NAN,1750.0,0.0,0.0,99   9,999
C11,CRP,NAN,C,C10,NAN,NAN,1000.0,0.0,0.0,99   9,999
H2CN,CRP,NAN,H,HCN,NAN,NAN,1000.0,0.0,0.0,99   9,999
CH3CHCH2,CRP,NAN,H2,CH3CCH,NAN,NAN,3000.0,0.0,0.0,99   9,999
HCNCC,CRP,NAN,CN,CCH,NAN,NAN,3450.0,0.0,0.0,99   9,999
HCCNC,CRP,NAN,CN,CCH,NAN,NAN,3450.0,0.0,0.0,99   9,999
HNCCC,CRP,NAN,CN,CCH,NAN,NAN,3450.0,0.0,0.0,99   9,999
NH2CN,CRP,NAN,CN,NH2,NAN,NAN,9500.0,0.0,0.0,99   9,999
NH2CHO,CRP,NAN,HCO,NH2,NAN,NAN,3000.0,0.0,0.0,99   9,999
C4H3,CRP,NAN,H,C4H2,NAN,NAN,10000.0,0.0,0.0,99   9,999
C6H6,CRP,NAN,H2,H2,C6H2,NAN,3000.0,0.0,0.0,99   9,999
C2H6,CRP,NAN,H2,C2H4,NAN,NAN,1880.0,0.0,0.0,99   9,999
C2H6,CRP,NAN,C2H6+,E-,NAN,NAN,389.0,0.0,0.0,99   9,999
C4H2,PHOTON,NAN,H,C4H,NAN,NAN,1.9e-09,0.0,1.64,99   9,999
C4H2,PHOTON,NAN,C4H2+,E-,NAN,NAN,4.6e-10,0.0,2.28,99   9,999
C4H2,PHOTON,NAN,CCH,CCH,NAN,NAN,1.9e-09,0.0,1.64,99   9,999
C5H,PHOTON,NAN,CCH,C3,NAN,NAN,1e-11,0.0,1.7,99   9,999
C5H,PHOTON,NAN,C2,C-C3H,NAN,NAN,5e-12,0.0,1.7,99   9,999
C5H,PHOTON,NAN,C2,L-C3H,NAN,NAN,5e-12,0.0,1.7,99   9,999
C5H,PHOTON,NAN,H,C5,NAN,NAN,1e-11,0.0,1.7,99   9,999
C5N,PHOTON,NAN,CN,C4,NAN,NAN,5e-10,0.0,1.7,99   9,999
CH3OH,PHOTON,NAN,H2,H2CO,NAN,NAN,1.4e-09,0.0,2.28,99   9,999
CH3OH,PHOTON,NAN,CH3OH+,E-,NAN,NAN,7e-10,0.0,2.57,99   9,999
CH3OH,PHOTON,NAN,OH,CH3,NAN,NAN,1.2e-09,0.0,2.28,99   9,999
CH3OH,PHOTON,NAN,H,H2COH+,E-,NAN,9.3e-12,0.0,2.57,99   9,999
CH3CHO,PHOTON,NAN,HCO,CH3,NAN,NAN,1.1e-09,0.0,1.52,99   9,999
CH3CHO,PHOTON,NAN,CO,CH4,NAN,NAN,1.1e-09,0.0,1.52,99   9,999
CH3CHO,PHOTON,NAN,C2H4O+,E-,NAN,NAN,4.6e-10,0.0,2.28,99   9,999
CH3CCH,PHOTON,NAN,H2,C-C3H2,NAN,NAN,1.81e-10,0.0,1.69,99   9,999
CH3CCH,PHOTON,NAN,H2,L-C3H2,NAN,NAN,1.81e-10,0.0,1.69,99   9,999
CH3CCH,PHOTON,NAN,H,CH2CCH,NAN,NAN,2.94e-09,0.0,1.72,99   9,999
CH3CCH,PHOTON,NAN,C3H4+,E-,NAN,NAN,2.2e-09,0.0,2.37,99   9,999
CH2CHC2H,PHOTON,NAN,C,CH3CCH,NAN,NAN,1.13e-09,0.0,1.64,99   9,999
CH2CHCHCH2,PHOTON,NAN,C,CH3CHCH2,NAN,NAN,1.13e-09,0.0,1.64,99   9,999
C5H2,PHOTON,NAN,CCH,C-C3H,NAN,NAN,5e-12,0.0,1.7,99   9,999
C5H2,PHOTON,NAN,CCH,L-C3H,NAN,NAN,5e-12,0.0,1.7,99   9,999
C5H2,PHOTON,NAN,H,C5H,NAN,NAN,1e-11,0.0,1.7,99   9,999
C6H,PHOTON,NAN,C3,L-C3H,NAN,NAN,2.5e-12,0.0,1.7,99   9,999
C6H,PHOTON,NAN,CCH,C4,NAN,NAN,5e-12,0.0,1.7,99   9,999
C6H,PHOTON,NAN,C3,C-C3H,NAN,NAN,2.5e-12,0.0,1.7,99   9,999
CH3NH2,PHOTON,NAN,H,CN,H2,H2,2.2e-10,0.0,1.76,99   9,999
CH3NH2,PHOTON,NAN,H,H,H2,HCN,8.6e-10,0.0,1.73,99   9,999
CH3NH2,PHOTON,NAN,NH2,CH3,NAN,NAN,4e-10,0.0,1.74,99   9,999
CH3NH2,PHOTON,NAN,H,H,CH2NH,NAN,8.7e-11,0.0,1.51,99   9,999
